   Elevation of diffraction waves
 Wave Number:   0.500   Wave Freq.:   1.505
    0.7432  2.7737    0.86602E-01  0.44210E-02
    0.7829  2.9218    0.86604E-01  0.44183E-02
    1.1576  2.7947    0.11918E+00 -0.58782E-01
    0.0000  2.8716    0.31433E-01  0.13796E+00
    0.0000  3.0249    0.31433E-01  0.13796E+00
    0.3948  2.9990    0.57064E-01  0.70457E-01
    3.0730  0.8234    0.32468E+00 -0.34201E+00
    3.2241  0.8639    0.32467E+00 -0.34201E+00
    3.3092  0.4357    0.33555E+00 -0.35363E+00
    3.3378  0.0000    0.33923E+00 -0.35751E+00
    3.1814  0.0000    0.33923E+00 -0.35751E+00
    2.7551  1.5907    0.28356E+00 -0.29576E+00
    2.8906  1.6689    0.28356E+00 -0.29577E+00
    3.0837  1.2773    0.30709E+00 -0.32269E+00
    2.2496  2.2496    0.22311E+00 -0.22001E+00
    2.3602  2.3602    0.22311E+00 -0.22001E+00
    2.6481  2.0319    0.25516E+00 -0.26144E+00
    1.5907  2.7551    0.15369E+00 -0.11793E+00
    1.6689  2.8906    0.15369E+00 -0.11793E+00
    2.0319  2.6481    0.18880E+00 -0.17195E+00
    0.8234  3.0730    0.86602E-01  0.44204E-02
    0.8639  3.2241    0.86603E-01  0.44185E-02
    1.2773  3.0837    0.11918E+00 -0.58781E-01
    0.0000  3.1814    0.31433E-01  0.13796E+00
    0.0000  3.3378    0.31433E-01  0.13796E+00
    0.4357  3.3092    0.57068E-01  0.70447E-01
