0
     164    533    553    1
203    1     -0.3229      -0.2325      -1.0000  
204    1     -0.2433      -0.1689      -1.0000  
205    1     -0.3275      -0.0796      -1.0000  
206    1     -0.3890      -0.2951      -1.0000  
207    1     -0.4586      -0.2175      -1.0000  
208    1     -0.3925      -0.1549      -1.0000  
209    1     -0.4817      -0.0753      -1.0000  
210    1     -0.5311      -0.1641      -1.0000  
211    1     -0.6328      -0.0888      -1.0000  
212    1     -0.6772      -0.2025      -1.0000  
213    1     -0.7944      -0.1136      -1.0000  
214    1     -0.8557      -0.2605      -1.0000  
215    1     -0.4921      -0.3183      -1.0000  
216    1     -0.5646      -0.2649      -1.0000  
217    1     -0.5927      -0.4049      -1.0000  
218    1     -0.7052      -0.3424      -1.0000  
219    1     -0.7344      -0.5194      -1.0000  
220    1     -0.5552      -0.5312      -1.0000  
221    1     -0.5184      -0.7092      -1.0000  
222    1     -0.3459      -0.6639      -1.0000  
223    1     -0.2650      -0.8395      -1.0000  
224    1     -0.1181      -0.7615      -1.0000  
225    1     0.0000       -0.9000      -1.0000  
226    1     -0.4508      -0.3980      -1.0000  
227    1     -0.4134      -0.5242      -1.0000  
228    1     -0.2829      -0.4872      -1.0000  
229    1     -0.2154      -0.6269      -1.0000  
230    1     -0.0973      -0.5653      -1.0000  
231    1     0.0000       -0.7000      -1.0000  
232    1     -0.3477      -0.3748      -1.0000  
233    1     -0.1829      -0.4424      -1.0000  
234    1     0.0000       -0.5000      -1.0000  
235    1     0.1486       -0.9889      -1.0000  
236    1     0.4432       -0.8964      -1.0000  
237    1     0.7071       -0.7071      -1.0000  
238    1     0.8964       -0.4432      -1.0000  
239    1     0.9889       -0.1486      -1.0000  
240    1     0.0824       -0.1893      -1.0000  
241    1     0.1680       -0.2664      -1.0000  
242    1     0.0856       -0.3771      -1.0000  
243    1     0.1658       -0.0893      -1.0000  
244    1     0.2433       -0.1689      -1.0000  
245    1     0.3229       -0.2325      -1.0000  
246    1     0.2477       -0.3300      -1.0000  
247    1     0.3275       -0.0796      -1.0000  
248    1     0.3925       -0.1549      -1.0000  
249    1     0.4586       -0.2175      -1.0000  
250    1     0.3890       -0.2951      -1.0000  
251    1     0.4817       -0.0753      -1.0000  
252    1     0.6328       -0.0888      -1.0000  
253    1     0.5311       -0.1641      -1.0000  
254    1     0.7944       -0.1136      -1.0000  
255    1     0.6772       -0.2025      -1.0000  
256    1     0.8557       -0.2605      -1.0000  
257    1     0.5646       -0.2649      -1.0000  
258    1     0.4921       -0.3183      -1.0000  
259    1     0.7052       -0.3424      -1.0000  
260    1     0.5927       -0.4049      -1.0000  
261    1     0.7344       -0.5194      -1.0000  
262    1     0.5184       -0.7092      -1.0000  
263    1     0.5552       -0.5312      -1.0000  
264    1     0.2650       -0.8395      -1.0000  
265    1     0.3459       -0.6639      -1.0000  
266    1     0.1181       -0.7615      -1.0000  
267    1     0.4134       -0.5242      -1.0000  
268    1     0.4508       -0.3980      -1.0000  
269    1     0.2154       -0.6269      -1.0000  
270    1     0.2829       -0.4872      -1.0000  
271    1     0.0973       -0.5653      -1.0000  
272    1     0.3477       -0.3748      -1.0000  
273    1     0.1829       -0.4424      -1.0000  
274    1     0.0000       1.0000       0.0000   
275    1     -0.2938      0.9559       0.0000   
276    1     -0.5811      0.8138       0.0000   
277    1     -0.8138      0.5811       0.0000   
278    1     -0.9559      0.2938       0.0000   
279    1     -1.0000      0.0000       0.0000   
280    1     -1.0000      0.0000       -0.2500  
281    1     -1.0000      0.0000       -0.5000  
282    1     -1.0000      0.0000       -0.7500  
283    1     0.0000       1.0000       -0.7500  
284    1     0.0000       1.0000       -0.5000  
285    1     0.0000       1.0000       -0.2500  
286    1     -0.2938      0.9559       -0.2500  
287    1     -0.5811      0.8138       -0.2500  
288    1     -0.8138      0.5811       -0.2500  
289    1     -0.9559      0.2938       -0.2500  
290    1     -0.2938      0.9559       -0.5000  
291    1     -0.5811      0.8138       -0.5000  
292    1     -0.8138      0.5811       -0.5000  
293    1     -0.9559      0.2938       -0.5000  
294    1     -0.2938      0.9559       -0.7500  
295    1     -0.5811      0.8138       -0.7500  
296    1     -0.8138      0.5811       -0.7500  
297    1     -0.9559      0.2938       -0.7500  
298    1     0.2938       0.9559       0.0000   
299    1     0.5811       0.8138       0.0000   
300    1     0.8138       0.5811       0.0000   
301    1     0.9559       0.2938       0.0000   
302    1     1.0000       0.0000       0.0000   
303    1     1.0000       0.0000       -0.2500  
304    1     1.0000       0.0000       -0.5000  
